,shop_order,tool,mach_name,resin,total_pieces,start_time,end_time,number of entries
55,186091,R7479C-Thin-Wall,54-H1100,RM176,6318.0,2019-01-22 16:26:35,2019-01-24 14:00:01,7.0
56,186696,R7028M-Thin-Wall,31-N500,RM129,0.0,2019-01-22 16:50:58,2019-01-23 14:00:00,4.0
57,186146,R7479B,52-H1100,RM129,2019.0,2019-01-23 15:24:50,2019-01-24 06:00:00,3.0
58,186453,R7036E-Thin-Wall,74-H650,RM129,2060.0,2019-01-23 20:07:14,2019-01-24 06:00:00,3.0
59,186743,R7028M-Thin-Wall,31-N500,RM129,59176.0,2019-01-23 20:14:54,2019-02-01 14:00:00,28.0
60,185644,R7463B,431-T310,RM129,50482.0,2019-01-24 06:03:08,2019-02-12 06:00:00,78.0
61,186293,R7036E-Thin-Wall,74-H650,RM129,12810.0,2019-01-24 07:05:45,2019-01-28 22:00:00,15.0
62,186729,R7479B,52-H1100,RM165,154.0,2019-01-24 08:16:15,2019-01-25 06:00:00,3.0
63,186011,R7043B,40-T390,RM171,6500.0,2019-01-24 19:25:30,2019-02-25 06:00:01,88.0
64,186090,R7417B,63-N500,RM176,104712.0,2019-01-24 19:56:10,2019-02-11 06:00:01,77.0
65,186046,R7479C-Thin-Wall,54-H1100,RM168,2485.0,2019-01-24 21:55:47,2019-01-26 14:00:00,7.0
66,186741,R7417B,63-N500,RM176,3461.0,2019-01-25 06:00:01,2019-01-26 06:00:00,7.0
67,186742,R7417B,63-N500,RM176,2023.0,2019-01-25 14:00:00,2019-01-26 06:06:40,4.0
68,186728,R7479B,52-H1100,RM165,153.0,2019-01-25 14:06:51,2019-01-25 14:06:51,1.0
69,186762,R7500B,28-T390,RM129,0.0,2019-01-25 15:18:19,2019-01-25 15:18:19,1.0
70,186705,R7502E,18-N400,RM129,217600.0,2019-01-25 17:37:49,2019-01-31 06:00:01,65.0
71,186117,R7042M,32-N400,RM171,3530.0,2019-01-25 20:37:21,2019-02-01 14:00:00,22.0
72,186445,R7479C-Thin-Wall,54-H1100,RM129,2733.0,2019-01-26 14:00:37,2019-01-28 06:00:00,6.0
73,186682,R7515A,42-T720,RM093,15934.0,2019-01-27 23:19:03,2019-02-08 06:00:00,24.0
74,186612,R7028N-Thin-Wall,81-T500,RM129,37070.0,2019-01-28 06:00:00,2019-02-04 06:00:01,15.0
75,186290,R7413B,67-H800,RM129,3459.0,2019-01-28 09:57:56,2019-01-29 06:00:01,3.0
76,186611,R7479C-Thin-Wall,54-H1100,RM129,15582.0,2019-01-28 13:24:18,2019-02-04 22:00:00,24.0
77,186073,R7032D,43-N500,RM171,30230.0,2019-01-28 14:47:21,2019-02-08 18:00:00,24.0
78,186120,R7461D,37-N400,RM129,23251.0,2019-01-28 16:53:24,2019-02-13 14:00:00,17.0
79,186322,R7568A,75-T240,RM171,26484.0,2019-01-28 23:04:13,2019-02-15 14:00:00,14.0
80,185656,R7461D,37-N400,RM129,250901.0,2019-01-29 10:13:51,2019-02-05 18:00:01,80.0
81,186141,R7028L,82-S500,RM129,30756.0,2019-01-29 13:04:06,2019-02-09 14:00:00,35.0
82,185662,R8526B,83-T390,RM129,103864.0,2019-01-29 15:01:10,2019-02-26 06:00:00,168.0
83,186113,R7500D,14-N400,RM129,490930.0,2019-01-29 21:15:40,2019-02-14 06:00:01,160.0
84,185603,R7599B,89-T610,RM171,15350.0,2019-01-31 09:52:37,2019-02-02 06:00:00,5.0
85,186002,R7102B,76-V400,RM129,54460.0,2019-02-01 07:42:30,2019-02-11 14:00:00,32.0
86,186049,R7028M-Thin-Wall,31-N500,RM129,15868.0,2019-02-01 15:30:36,2019-02-05 06:00:00,12.0
87,186890,R7042M,32-N400,RM171,32636.0,2019-02-01 17:14:18,2019-02-07 06:00:00,18.0
88,186459,R7414A,33-T500,RM129,157950.0,2019-02-01 18:57:08,2019-02-13 14:00:00,109.0
89,186258,R7038A,85-N400,RM171,11751.0,2019-02-02 10:52:11,2019-02-15 06:00:00,40.0
90,186180,R7633A,86-T390,RM129,189832.0,2019-02-02 12:17:05,2019-02-14 06:00:01,100.0
91,186021,R7624A,89-T610,RM093,12567.0,2019-02-02 16:33:09,2019-02-15 06:00:00,27.0
92,186210,R7417A,63-N500,RM176,74909.0,2019-02-03 10:56:14,2019-02-13 14:00:00,58.0
93,186175,R7450A,65-T310,RM171,53263.0,2019-02-04 20:46:36,2019-02-19 06:00:00,45.0
94,186219,R7479C-Thin-Wall,54-H1100,RM165,2813.0,2019-02-05 05:38:49,2019-02-06 14:00:00,6.0
95,186048,R7036F-Thin-Wall,56-H650,RM165,19887.0,2019-02-05 09:03:22,2019-02-11 06:00:01,13.0
96,186152,R7028M-Thin-Wall,31-N500,RM129,5904.0,2019-02-05 11:10:12,2019-02-06 06:00:00,4.0
97,186358,R7036E-Thin-Wall,74-H650,RM168,3647.0,2019-02-06 06:27:56,2019-02-07 06:00:00,4.0
98,186008,R7481B,64-N400,RM093,36037.0,2019-02-06 07:46:35,2019-02-11 18:00:01,24.0
99,186935,R7461E,37-N400,RM093,1646.0,2019-02-07 04:02:19,2019-02-08 06:00:00,4.0
100,186057,R7036C,74-H650,RM165,12002.0,2019-02-07 06:41:33,2019-02-09 22:00:01,9.0
101,186402,R7042M,32-N400,RM171,24942.0,2019-02-07 09:17:49,2019-02-12 06:00:00,16.0
102,186296,R7501E,18-N400,RM129,86526.0,2019-02-07 18:05:45,2019-02-09 09:12:02,22.0
103,186135,R7479D-Thin-Wall,52-H1100,RM129,16535.0,2019-02-08 04:43:51,2019-02-17 06:00:00,22.0
104,186414,R7067C,20-T390,RM129,23900.0,2019-02-08 06:56:27,2019-02-25 14:00:00,31.0
105,186118,R7046L-Thin-Wall,42-T720,RM171,9642.0,2019-02-08 08:11:27,2019-02-10 06:00:00,5.0
106,186411,R7040H,20-T390,RM129,57552.0,2019-02-08 08:15:18,2019-02-14 06:00:00,38.0
107,186977,R7043B,30-T390,RM171,22852.0,2019-02-08 09:57:38,2019-02-25 06:00:00,44.0
108,186965,R7461E,37-N400,RM129,97199.0,2019-02-08 12:30:03,2019-02-17 06:00:00,71.0
109,186299,R7032D,43-N500,RM171,40675.0,2019-02-08 22:04:38,2019-02-25 18:00:00,35.0
110,186213,R7502E,18-N400,RM129,162377.0,2019-02-09 16:05:02,2019-02-12 18:00:01,40.0
111,186351,R7569C-Thin-Wall,67-H800,RM129,2216.0,2019-02-10 00:20:53,2019-02-10 06:00:01,2.0
112,186051,R7572A,67-H800,RM129,6551.0,2019-02-10 16:41:41,2019-02-12 18:00:01,6.0
113,186451,R7028M-Thin-Wall,31-N500,RM171,17394.0,2019-02-10 17:15:45,2019-02-12 22:00:00,8.0
114,186173,R7451A,90-N120,RM036,51783.0,2019-02-10 17:52:51,2019-02-17 06:00:01,30.0
115,186444,R7046L-Thin-Wall,42-T720,RM171,8196.0,2019-02-10 17:59:36,2019-02-12 06:00:00,5.0
116,186150,R7479C-Thin-Wall,54-H1100,RM176,5058.0,2019-02-11 14:04:47,2019-02-13 06:00:00,6.0
117,186159,R7102B,76-V400,RM129,31784.0,2019-02-11 16:03:30,2019-02-16 06:00:00,15.0
118,185646,R7597C-Thin-Wall,77-H800,RM171,5818.0,2019-02-11 16:53:19,2019-02-17 14:00:00,19.0
119,186160,R7481B,64-N400,RM093,12419.0,2019-02-11 23:03:00,2019-02-13 06:00:00,8.0
120,186441,R7042M,32-N400,RM171,12296.0,2019-02-12 09:54:19,2019-02-14 14:00:00,8.0
121,185986,R7046L-Thin-Wall,42-T720,RM171,60546.0,2019-02-12 13:59:20,2019-02-23 06:00:00,23.0
122,186169,R7045D,23-V400,RM171,99444.0,2019-02-12 17:04:19,2019-02-20 14:00:00,51.0
123,186168,R7045D,23-V400,RM171,5302.0,2019-02-12 17:23:32,2019-02-25 06:00:01,21.0
124,185660,R8509B,432-T200,RM129,20073.0,2019-02-12 17:37:38,2019-02-21 06:00:00,19.0
125,186105,R7572A,67-H800,RM129,3270.0,2019-02-13 01:43:03,2019-02-13 18:00:00,3.0
126,186148,R7479C-Thin-Wall,54-H1100,RM176,3736.0,2019-02-13 11:46:56,2019-02-14 14:00:01,5.0
127,186003,R7481B,64-N400,LH,20738.0,2019-02-13 16:16:35,2019-02-16 06:00:01,14.0
128,186324,R7445A,33-T500,RM129,59223.0,2019-02-13 18:07:32,2019-03-03 06:00:00,104.0
129,186469,R7637A,80-H440,RM129,15584.0,2019-02-13 21:41:43,2019-02-23 06:00:00,30.0
130,186286,R7036E-Thin-Wall,74-H650,RM129,1096.0,2019-02-14 02:59:22,2019-02-14 06:00:00,2.0
131,186311,R7633A,86-T390,RM129,206065.0,2019-02-14 10:48:06,2019-03-01 06:00:00,121.0
132,186284,R7500D,14-N400,RM129,495995.0,2019-02-14 12:11:28,2019-02-25 06:00:01,107.0
133,186416,R7068C,201-N400,RM129,36566.0,2019-02-14 12:13:53,2019-03-01 06:00:00,41.0
134,186885,R7417B,63-N500,RM176,120562.0,2019-02-15 02:26:59,2019-03-09 06:00:00,120.0
135,186259,R7042M,32-N400,RM171,15392.0,2019-02-15 10:25:43,2019-02-27 06:00:00,37.0
136,186442,R7483A,85-N400,RM093,17213.0,2019-02-15 13:29:30,2019-02-28 06:00:01,40.0
137,187066,R7461E,37-N400,RM093,30396.0,2019-02-15 14:28:00,2019-02-17 06:00:01,29.0
138,186417,R7616A,75-T240,RM171,226960.0,2019-02-15 16:16:28,2019-03-04 22:00:00,53.0
139,186050,R7028M-Thin-Wall,31-N500,RM171,12320.0,2019-02-15 17:50:19,2019-02-17 22:00:00,6.0
140,186134,R7413B,67-H800,RM176,2333.0,2019-02-15 18:03:30,2019-02-16 06:00:00,2.0
141,186103,R7028N-Thin-Wall,81-T500,RM129,57560.0,2019-02-16 03:51:57,2019-02-25 18:00:00,21.0
142,185645,R7103A,82-S500,RM129,0.0,2019-02-16 04:24:24,2019-02-16 06:00:00,2.0
143,186383,R7102B,76-V400,RM129,73350.0,2019-02-16 09:26:51,2019-02-26 14:00:00,31.0
144,186974,R7607D-Thin-Wall,82-S500,RM171,30298.0,2019-02-16 09:32:53,2019-02-24 22:00:00,27.0
145,186161,R7089C,64-N400,RM093,146040.0,2019-02-16 14:54:09,2019-03-01 06:00:01,54.0
146,186707,R7502E,18-N400,RM129,95190.0,2019-02-16 21:38:46,2019-03-01 06:00:00,121.0
147,186211,R7075B,90-N120,RM044,51012.0,2019-02-17 07:11:09,2019-02-26 06:00:00,19.0
148,186176,R7450A,91-T180,RM171,34702.0,2019-02-17 07:11:24,2019-02-26 06:00:00,19.0
149,186277,R7479C-Thin-Wall,54-H1100,RM176,11783.0,2019-02-17 07:31:10,2019-02-25 06:00:00,17.0
