,Lot Number,Product,Date,Shop Order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
1082,19D07163X,8881112083,20190417,188019,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,3201413,,Syringe
1083,19D07263X,8881112083,20190417,188020,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1084,19D07363X,8881112083,20190417,188021,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1085,19D07463X,8881112083,20190525,188022,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1086,19D07563X,8881112083,20191201,188023,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1087,19D07663X,8881412012,20190408,188024,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1088,19D07763X,8881412012,20190408,188025,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1089,19D07863X,8881412012,20190417,188026,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1090,19D07963X,8881412012,20190424,188027,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1091,19D08063X,8881412012,20190502,188028,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1092,19D08163X,8881412012,20190508,188029,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1093,19D08263X,8881112059,20190417,188030,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1094,19D08363X,8881112059,20190424,188031,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1095,19D08463X,8881112059,20190424,188032,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1096,19D08563X,8881112059,20190424,188033,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1097,19D08663X,8881112059,20190601,188034,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1098,19D08763X,8881112059,20190605,188035,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1099,19D08963X,8881112518,20190403,188041,24.000,,DC00078714,5542735,,,,,EXP5050,,,,,,,,,,,,,,,5241008,,,,,,,,,4502575,,,,Syringe
1100,19D09063X,8881112518,20190417,188042,332.000,,DC00078714,5542735,,,,,EXP5050,,,,,,,,,,,,,,,5241008,,,,,,,,,4502575,,,,Syringe
1101,19D09163X,8881112518,20190403,188043,55.000,,DC00078714,5542735,,,,,EXP5050,,,,,,,,,,,,,,,5241008,,,,,,,,,4502575,,,,Syringe
1102,19D09263X,8881112518,20190410,188044,335.000,,DC00078714,5542735,,,,,EXP5050,,,,,,,,,,,,,,,5241008,,,,,,,,,4502575,,,,Syringe
1103,19D09363X,8881112518,20190403,188045,141.000,,DC00078714,5542735,,,,,EXP5050,,,,,,,,,,,,,,,5241008,,,,,,,,,4502575,,,,Syringe
1104,19D09463,V8900,20190424,188049,252.000,RM160,FS10003254,CL63R1146,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1105,19D09563,8939,20190612,188053,0,RM093,FS10003188,R1690,PT00062563,,,,,,PT00012137,,WP7417,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1106,19D09763,8900MW,20190408,188055,126.000,RM165,FS10003165,CL63R1796,,,,,,,PT00006610,,,,,,,,,,,,,R4415,,R7027MW,,,,,,,,,,,Containers
1107,19D09963,8939PG2,20190411,188060,0,RM176,FS10003740,R1700,PT00062563,,,,,,PT00012137,,WP7417P,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1108,19D10063,8618RC,20190724,188061,18800.000,RM176,FS10021632,R1700,RM074,,,,,,PT00006651,,WP7417P,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
1109,19D10163X,1181200777,20190717,188065,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1110,19D10263X,1181200777,20190515,188066,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1111,19D10363X,1181200777,20190901,188067,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1112,19D10463X,1181200777,20190515,188068,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1113,19D10563X,1181200777,20190521,188069,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1114,19D10663X,1181200777,20190801,188070,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1115,19D10763X,1181200777,20190521,188071,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1116,19D10863,8537SA,20190425,188072,24710.400,RM032,FS10003139,CL63R1780,RM170,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1117,19D10963,047,20190611,188075,56000.000,RM129,FS10026366,R1528A,PT00065936,,,PT00034301,,,PT00034377,,WP7102,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1118,19D11063,1522SA,20190716,188076,42519.860,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1119,19D11163,31323176,20190529,188077,8280.000,RM032,FS10006055,R1680,RM170,,,PT00047930,,,PT00033502,,WP7605,,,,,,,,,R1679,,,,,,,,,,,,,,,Containers
1120,19D11363,8506Y,20190702,188079,81452.832,RM106,FS10003085,CL63R1776,RM260,,,,X98146,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1121,19D11463,8507SA,20190614,188080,95299.813,RM032,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
1122,19D11563,851301,20190717,188081,20500.000,RM032,FS10003099,R1320D,RM170,,,,,,PT00006610,,WP851201N,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1123,19D12163,8935,20190717,188087,7600.000,RM165,FS20001205,R1292D,,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1124,19D12263,8989,20190627,188088,23720.000,RM093,FS10003226,R1690,PT00062563,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1125,19D12363,8989PG2,20190604,188089,10540.000,RM176,FS10003741,R1700,PT00062563,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1126,19D12463,8998PG2,20190529,188090,6300.000,RM176,FS10003738,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1127,19D12563,8990SA,20190613,188104,22960.000,RM165,FS10003229,R1528A,PT00065936,,,,,,PT00006610,,WP3204,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1128,19D12663X,8881112985,20190414,188108,0,0301001,FS10024418,5170588,,,,,4230505,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
1129,19D12763X,8881112985,20190414,188109,0,0301001,FS10024418,5170588,,,,,4230505,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
1130,19D12863X,8881112599,20190415,188112,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
1131,19D12963X,1181200777,20190801,188113,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1132,19D13063X,1181200777,20190801,188114,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
1133,19D13163X,412SE,20190515,188115,5302.572,0301001,FS20006457,CL63R1794,0400145,,,,PT00033970,,PT00055216,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,R7642B,,,,,,,,Syringe
1134,19D13263,8507SA,20190412,188118,54573.365,RM032,FS10003086,CL63R1776,RM170,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1135,19D13363,8998PG2,20190508,188119,3010.000,RM176,FS10003738,RM054,PT00065943,,,,,,PT00006650,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1136,19D13463,8989,20190528,188122,0,RM093,FS10003226,R1690,PT00062563,,,,,,PT00012138,,PT00013702,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1137,19D13563X,8881412012,20190521,188126,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1138,19D13663X,8881412012,20190521,188127,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1139,19D13763X,8881412012,20190522,188128,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1140,19D13863X,8881412012,20190523,188129,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
1141,19D13963,8939,20190723,188137,0,RM093,FS10003188,R1690,PT00062563,,,,,,PT00012137,,WP7417,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1142,19D14263X,8881907102,20190515,188146,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1143,19D14363X,8881907102,20190514,188147,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1144,19D14463X,8881907102,20190514,188148,0,0301001,FS10017466,5000231,,,,,PT00006657,,,,,,,,,,,,,,PT00009994,PT00006674,4101801,,,,,,7777129656,,,,,,Syringe
1145,19D14663,8989PG2,20190515,188153,3000.000,RM176,FS10003741,R1700,PT00062563,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1146,19D14763,8970Y,20190703,188154,17360.000,RM171,FS10003205,PT00044733,RM260,,,,,,PT00006610,,WP8979,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
1147,19D14963,31157160,20190606,188156,390.000,RM157,FS10006139,RM054,PT00065936,,,PT00047930,,,R98399A,,WP4810,,,,,,,,,,,,,,,,,,,,,,,,Containers
1148,19D15163,31300919,20190728,188158,35640.000,RM106,FS10006050,R1680,RM260,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
