,Lot Number,Product,first_entry_date,last_entry_date,shop_order,requested_qty,resin,Formula Sheet,packaging,colorant,misc,purging solvent,label,PRINTER ACCESSORIES,lid component door,ifu,lid component rotor,lid assembly,LABEL,pad,lid component lid,lid component,lid component cap,lid component washer,lid component hood,lid component cowl,PAD,SILICON FLUID,label stock,rubber tip,container,lid,label kit,barrel,TRAY,tip cap,discontinued,fg,cannula,plunger,bracket key,Value Stream
5683,21B01463,8515,2021-03-03,2021-03-03,195799,250.000,,FS10003103,R9242D,,,,,,,,,,,,,,,,,,,,R4415,,,,,,R8535,,,,,,,Containers
5684,21B01863,8539SA,2021-03-03,2021-03-03,195803,160.000,,FS10003141,R1073D,,,,,,,,,,,,,,,,,,,,R4415,,,,,,R9806,,,,,,,Containers
5685,21B02063,8607RC,2021-07-19,2021-07-21,195805,15840.000,RM168,FS10025554,R1644A,RM074,,,,,,PT00006651,,PT00013692,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
5686,21B02363,8618RC,2021-05-04,2021-05-05,195808,17290.000,RM168,FS10021632,R1700,RM074,,,,,,PT00006651,,WP7417P,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
5687,21B02463,8934,2021-04-12,2021-04-12,195809,0,RM157,FS10003181,R1292D,PT00062563,,,,,,PT00012137,,WP7417P,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5688,21B02763,8939,2021-04-02,2021-04-07,195812,0,RM129,FS10003188,R1690,PT00062563,,,,,,PT00012137,,WP7417P,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5689,21B04063,8525Y,2021-02-01,2021-02-01,195830,4400.000,RM171,FS10003123,CL63R1784,RM260,,,,,,PT00012105,,WP8526,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5690,21B04563X,8881112599,2021-02-17,2021-02-17,195859,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
5691,21B04663X,8881112599,2021-02-15,2021-02-17,195860,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
5692,21B04763X,8881112599,2021-02-24,2021-02-24,195861,0,0301001,FS10028544,5500149,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,5241008,4006202,,,,,,,,,,,,Syringe
5693,21B04863X,8881512852,2021-03-17,2021-04-14,195862,0,0301001,FS10011725,PT00015840,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
5694,21B04963X,8881512852,2021-03-24,2021-04-14,195863,0,0301001,FS10011725,PT00015840,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
5695,21B05063X,8881512852,2021-03-24,2021-04-14,195864,0,0301001,FS10011725,PT00015840,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
5696,21B05163X,8881512852,2021-03-24,2021-04-21,195865,0,0301001,FS10011725,PT00015840,,,,,EXP6026,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
5697,21B05363X,8881412012,2021-03-31,2021-04-21,195868,0,0301001,FS10020754,5500149,,,,,PT00033972,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
5698,21B05563X,4502570,2021-02-11,2021-03-10,195870,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5699,21B05663X,4502570,2021-02-10,2021-02-10,195871,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5700,21B05863X,4502570,2021-02-10,2021-02-17,195873,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5701,21B05963X,4502570,2021-02-17,2021-02-17,195874,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5702,21B06063X,4502570,2021-02-17,2021-02-17,195875,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5703,21B06163X,4502570,2021-02-17,2021-02-17,195876,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5704,21B06263X,6492743,2021-02-10,2021-02-10,195877,0,0301001,FS20003116,5000109,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
5705,21B06363X,8881112059,2021-02-17,2021-06-23,195878,0,0301001,FS10017441,5000231,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
5706,21B06463X,8881112985,2021-02-17,2021-02-17,195879,0,0301001,FS10024418,5170588,,,,,4230505,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
5707,21B06563X,8881112985,2021-02-23,2021-02-24,195880,0,0301001,FS10024418,5170588,,,,,4230505,,,,,,,,,,,,,,PT00009994,5241008,4001801,,,,,,,,,,,,Syringe
5708,21B06663X,1181200777,2021-02-10,2021-03-10,195881,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
5709,21B06763X,1181200777,2021-02-17,2021-04-14,195882,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
5710,21B06863X,1181200777,2021-02-24,2021-02-24,195883,0,0301001,FS10017237,5170969,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008R,4001801,,,,,,,,,,,,Syringe
5711,21B07163,8536SA,2021-02-08,2021-02-08,195886,32761.872,RM171,FS10003137,CL63R1780,,,,,EXP6029,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5712,21B07563X,6492743,2021-02-10,2021-02-10,195904,0,0301001,FS20003116,5000109,,,,,X9901,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
5713,21B08063,8998PG2,2021-04-19,2021-04-19,195912,10775.000,RM176,FS10003738,RM054,PT00065936,,,,,,PT00012138,,PT00013694,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5714,21B08263,1522SA,2021-04-05,2021-04-07,195916,31072.205,RM129,FS10003045,R1302D,PT00065936,,,,,,PT00006610,R7013,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5715,21B08563,8507SA,2021-04-19,2021-04-28,195920,0,RM093,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
5716,21B09163,8934CRS,2021-05-10,2021-05-10,195926,0,RM165,FS10028284,R1292D,,,,,,,PT00012137,,WP7417P,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5717,21B09263,8939,2021-04-28,2021-04-28,195927,0,RM129,FS10003188,R1690,PT00062563,,,,,,PT00012137,,WP7417P,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5718,21B09863,8836SA,2021-04-06,2021-04-08,195933,3557.000,RM093,FS10006504,,,,,PT00068805,,,CL63R98234,,WP8836P,,,,,,,,,R5098,,R4415,,,,,,,,,,,,,Containers
5719,21B10063,8938,2021-04-09,2021-04-14,195935,12600.000,RM129,FS10003185,RM054,PT00065936,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5720,21B10463,8537SA,2021-02-18,2021-02-18,195939,52859.664,RM171,FS10003139,CL63R1780,RM170,,,,EXP6029,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5721,21B10563X,5551731218,2021-02-15,2021-02-24,195949,0,0301001,FS10013524,5000109,,,,,,,,,,,,,,,,,,,,5241008,,,,,,,,,,,,,Syringe
5722,21B10663X,5551761207,2021-02-15,2021-02-15,195950,0,,FS10013527,EXP6001,,,,,,,,,,,,,,,,,,,,,4101801,,,,,,,,,,,,Syringe
5723,21B11563,31144010,2021-06-29,2021-06-30,195960,83520.000,RM171,FS10006041,R1680,RM170,,,,,,PT00006643,,WP7605,,,,,,,,,R1679,,R4415,,,,,,,,,,,,,Containers
5724,21B11863,31353603,2021-05-19,2021-05-19,195963,512237.941,RM032,FS10006109,,RM170,,,,,,PT00067913,,PT00069525,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5725,21B12663,8507SA,2021-04-23,2021-04-28,195971,0,RM093,FS10003086,CL63R1776,RM170,,,,X98151,,CL63R98334A,,,,,,,,,,,,,PT00062605,,,,,,,,,,,,,Containers
5726,21B13563,8617RC,2021-05-10,2021-05-12,195980,8960.000,RM168,FS10025555,R1700,RM074,,,,,,PT00006651,,PT00013694,,,,,,,,,,,R4415,,,,WP0002PKG,,,,,,,,,Containers
5727,21B13963,8900SA,2021-04-13,2021-04-14,195984,1098.000,RM129,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5728,21B14063,8900SA,2021-04-26,2021-04-28,195985,864.000,RM129,FS10003166,CL63R1796,PT00065936,,,,,,PT00006610,,,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5729,21B16363X,5551731218,2021-03-01,2021-03-01,196008,0,0301001,FS10013524,5000109,,,,,,,,,,,,,,,,,,,,5241008,,,,,,,,,,,,,Syringe
5730,21B16463X,5551761207,2021-03-01,2021-03-01,196009,0,,FS10013527,EXP6001,,,,,,,,,,,,,,,,,,,,,4101801,,,,,,,,,,,,Syringe
5731,21B16563X,8881112083,2021-02-11,2021-02-11,196010,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
5732,21B16663X,8881112083,2021-02-17,2021-02-17,196011,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
5733,21B16763X,8881112083,2021-02-17,2021-02-17,196012,0,0301001,FS10017988,5000109,,,,,PT00033969,,,,,,,,,,,,,,PT00009994,5241008,4101801,,,,,,,,,,,,Syringe
5734,21B17063,8935Y,2021-04-13,2021-04-14,196016,0,RM157,FS10003183,R1292D,PT00062563,,,,,,PT00006635,,WP8935,,,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5735,21B17563,8939,2021-05-21,2021-05-26,196021,0,RM129,FS10003188,R1690,PT00062563,,,,,,PT00012137,,WP7417P,,R5097,,,,,,,,,R4415,,,,,,,,,,,,,Containers
5736,21B17663,R7642B,2021-03-08,2021-03-10,196022,1667.520,0301009,DC00005093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syringe
5737,21B17763X,4502570,2021-02-17,2021-02-17,196023,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
5738,21B17863X,4502570,2021-02-17,2021-02-17,196024,0,0301001,DC00056758,5542735,,,,,EXP5050,,,,,,,,,,,,,,PT00009994,,4001204,,,,,,,,,,,,Syringe
